rowid,airport,city,country,iatacode,icaocode,latitude,longitude,altitude,timezone,dst,tz
7611,Takaka Aerodrome,Takaka,New Zealand,KTF,NZTK,-40.85,172.8,500,12,U,Pacific/Auckland
2040,Wigram,Wigram,New Zealand,-,NZWG,-43.551111,172.552778,74,12,Z,Pacific/Auckland
2009,Christchurch Intl,Christchurch,New Zealand,CHC,NZCH,-43.489358,172.532225,123,12,Z,Pacific/Auckland
7609,Enejit Airport,Enejit,Marshall Islands,EJT,\N,6.040278,171.984444,10,12,U,Pacific/Majuro
7604,Tinak Airport,Tinak,Marshall Islands,TIC,\N,7.133333,171.916667,4,12,U,Pacific/Majuro
5833,Mili Island Airport,Mili Island,Marshall Islands,MIJ,MLIP,6.08333,171.733,4,12,U,Pacific/Majuro
2046,Westport,Westport,New Zealand,WSZ,NZWS,-41.738056,171.580833,13,12,Z,Pacific/Auckland
7603,Ine Airport,Ine,Marshall Islands,IMI,\N,7.016667,171.483333,4,12,U,Pacific/Majuro
2249,Marshall Islands Intl,Majuro,Marshall Islands,MAJ,PKMJ,7.064758,171.272022,6,12,U,Pacific/Majuro
7608,Airok Airport,Airok,Marshall Islands,AIC,\N,7.1,171.233333,10,12,U,Pacific/Majuro
5822,Maloelap Island Airport,Maloelap Island,Marshall Islands,MAV,-,8.70444,171.23,0,12,U,Pacific/Majuro
2035,Timaru,Timaru,New Zealand,TIU,NZTU,-44.302778,171.225278,89,12,Z,Pacific/Auckland
5816,Aur Island Airport,Aur Atoll,Marshall Islands,AUL,-,8.14528,171.173,0,12,U,Pacific/Majuro
5828,Woja Airport,Majuro Atoll,Marshall Islands,WJA,-,7.083,171.133,0,12,U,Pacific/Majuro
2027,Oamaru,Oamaru,New Zealand,OAM,NZOU,-44.97,171.081667,99,12,Z,Pacific/Auckland
2014,Hokitika,Hokitika,New Zealand,HKK,NZHK,-42.713611,170.985278,146,12,Z,Pacific/Auckland
5823,Mejit Atoll Airport,Mejit Atoll,Marshall Islands,MJB,Q30,10.2833,170.883,5,12,U,Pacific/Majuro
5820,Kaben Airport,Kaben,Marshall Islands,KBT,-,8.90056,170.844,0,12,U,Pacific/Majuro
2931,Pevek,Pevek,Russia,PWE,UHMP,69.783283,170.597006,11,12,N,\N
9371,Markovo Airport,Markovo,Russia,KVM,UHMO,64.665278,170.414167,89,12,E,Asia/Magadan
6511,Tekapo,Lake Tekapo,New Zealand,-,NZTL,-44,170.28,2,12,Z,Pacific/Auckland
5829,Wotje Atoll Airport,Wotje Atoll,Marshall Islands,WTE,N36,9.46667,170.233,4,12,U,Pacific/Majuro
5917,Futuna Airport,Futuna Island,Vanuatu,FTA,NVVF,-19.5164,170.232,0,11,U,Pacific/Efate
2011,Dunedin,Dunedin,New Zealand,DUD,NZDN,-45.928055,170.198333,4,12,Z,Pacific/Auckland
2020,Mount Cook,Mount Cook,New Zealand,GTN,NZMC,-43.764999,170.133333,2153,12,Z,Pacific/Auckland
2013,Glentanner,Glentanner,New Zealand,MON,NZGT,-43.906666,170.128333,1824,12,Z,Pacific/Auckland
2036,Pukaki,Pukaki,New Zealand,-,NZUK,-44.235,170.118333,1575,12,Z,Pacific/Auckland
8481,Fox Glacier Airstrip,Fox Glacier,New Zealand,FGL,\N,-43.4,170.033,475,12,Z,Pacific/Auckland
5815,Ailuk Airport,Ailuk Island,Marshall Islands,AIM,-,10.2168,169.983,0,12,U,Pacific/Majuro
5814,Utirik Airport,Utirik Island,Marshall Islands,UTK,03N,11.222,169.852,4,12,U,Pacific/Majuro
5914,Anelghowhat Airport,Anelghowhat,Vanuatu,AUY,NVVA,-20.2492,169.771,7,11,U,Pacific/Efate
5827,Jaluit Airport,Jabor Jaluit Atoll,Marshall Islands,UIT,N55,5.90924,169.637,4,12,U,Pacific/Majuro
5915,Aniwa Airport,Aniwa,Vanuatu,AWD,NVVB,-19.24,169.605,69,11,U,Pacific/Efate
2019,Alexandra,Alexandra,New Zealand,ALR,NZLX,-45.211666,169.373333,752,12,Z,Pacific/Auckland
5918,Ipota Airport,Ipota,Vanuatu,IPA,NVVI,-18.8783,169.308,23,11,U,Pacific/Efate
5821,Likiep Airport,Likiep Island,Marshall Islands,LIK,-,9.82316,169.308,0,12,U,Pacific/Majuro
